Type,HierarchyPath,Level1_MainCategory,Level2_Category,Level3_SubCategory,PageTitle,ShortDescription,SimpleSummary,HeadingsList,WordCount
"Knowledge Article","Knowledge / Adverse Food Reactions / adverse-food-reactions /  / adverse-food-reactions","Adverse Food Reactions","adverse-food-reactions","","Adverse Food Reactions","Overview of adverse reactions to food, including allergies, intolerances, and food‑related autoimmune conditions.","🌿 What This Means For You: Overview of adverse reactions to food, including allergies, intolerances, and food‑related autoimmune conditions.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Botanical & Nutritional Overview | Key Nutritional Metrics & Bioactive Compounds | Detailed Nutritional & Clinical Applications | 1. Metabolic & Glycemic Support | 2. Anti-Inflammatory & Antioxidant Activity | 3. Culinary Integration & Bioavailability Optimization | Frequently Asked Questions (AEO / Speakable) | Q1: What are the main health benefits of consuming Adverse Food Reactions? | Q2: Are there any culinary or preparation tips to increase the nutritional value of Adverse Food Reactions? | Q3: What is the recommended daily intake for Adverse Food Reactions? | Evidence-Graded Lifestyle Swaps & Dietary Synergy",617
"Knowledge Article","Knowledge / Autoimmune Disease / Back Pain & Spinal Disorders / spine-1 / spine-1","Autoimmune Disease","Back Pain & Spinal Disorders","spine-1","Low Back Pain: Mechanical, Radicular & Red Flags","Weight management and anti-inflammatory nutrition considerations for mechanical low back pain, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Weight management and anti-inflammatory nutrition considerations for mechanical low back pain, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for spine 1 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",672
"Knowledge Article","Knowledge / Autoimmune Disease / Back Pain & Spinal Disorders / spine-2 / spine-2","Autoimmune Disease","Back Pain & Spinal Disorders","spine-2","Herniated Disc, Spinal Stenosis & Spondylolisthesis","Herniated disc and spinal stenosis are structural conditions outside nutrition scope; a brief overview and referral guidance, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Herniated disc and spinal stenosis are structural conditions outside nutrition scope; a brief overview and referral guidance, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for spine 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",579
"Knowledge Article","Knowledge / Autoimmune Disease / Back Pain & Spinal Disorders / spine-3 / spine-3","Autoimmune Disease","Back Pain & Spinal Disorders","spine-3","Scoliosis, Kyphosis & Spinal Deformities","Scoliosis and spinal deformities are structural, largely pediatric conditions outside nutrition scope; a brief overview and referral guidance, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Scoliosis and spinal deformities are structural, largely pediatric conditions outside nutrition scope; a brief overview and referral guidance, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for spine 3 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",573
"Knowledge Article","Knowledge / Autoimmune Disease / Bone Anatomy & Physiology / msk-anat-1 / msk-anat-1","Autoimmune Disease","Bone Anatomy & Physiology","msk-anat-1","Bone Structure: Cortical, Trabecular, Remodeling & Calcium Homeostasis","A brief primer on bone structure and calcium homeostasis, with the nutrients that support it, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: A brief primer on bone structure and calcium homeostasis, with the nutrients that support it, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Relevance | Safety Note | Sources | Clinical Perspectives & Nutritional Integration for msk anat 1 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",603
"Knowledge Article","Knowledge / Autoimmune Disease / Bone Anatomy & Physiology / msk-anat-2 / msk-anat-2","Autoimmune Disease","Bone Anatomy & Physiology","msk-anat-2","Joint Anatomy: Synovial Joints, Cartilage, Ligaments & Tendons","A brief primer on joint anatomy — cartilage, ligaments, and tendons — and the nutrients that support joint tissue, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: A brief primer on joint anatomy — cartilage, ligaments, and tendons — and the nutrients that support joint tissue, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Relevance | Safety Note | Sources | Clinical Perspectives & Nutritional Integration for msk anat 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",562
"Knowledge Article","Knowledge / Autoimmune Disease / Bone Biology / org-bone-1 / org-bone-1","Autoimmune Disease","Bone Biology","org-bone-1","Bone: Structure, Types, Remodeling & Mineral Homeostasis","A brief overview of bone tissue types, remodeling, and mineral homeostasis, with the nutrients that support bone health, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: A brief overview of bone tissue types, remodeling, and mineral homeostasis, with the nutrients that support bone health, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Relevance | Safety Note | Sources | Clinical Perspectives & Nutritional Integration for org bone 1 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",577
"Knowledge Article","Knowledge / Autoimmune Disease / Bone Biology / org-bone-2 / org-bone-2","Autoimmune Disease","Bone Biology","org-bone-2","Bone Disorders: Osteoporosis, Osteoarthritis, Rickets, Fractures & Bone Health","Nutrition considerations for the real bone conditions covered here — osteoporosis, osteoarthritis, rickets, and fracture healing — reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Nutrition considerations for the real bone conditions covered here — osteoporosis, osteoarthritis, rickets, and fracture healing — reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for org bone 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",712
"Knowledge Article","Knowledge / Autoimmune Disease / Fractures & Trauma / frac-1 / frac-1","Autoimmune Disease","Fractures & Trauma","frac-1","Fracture Types, Healing & Open Fracture Management","How calcium, vitamin D, and protein support fracture healing, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: How calcium, vitamin D, and protein support fracture healing, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for frac 1 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",657
"Knowledge Article","Knowledge / Autoimmune Disease / Fractures & Trauma / frac-2 / frac-2","Autoimmune Disease","Fractures & Trauma","frac-2","Hip Fracture: Femoral Neck, Intertrochanteric & Periprosthetic","Osteoporotic hip fracture risk and the calcium, vitamin D, and protein strategies that support recovery, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Osteoporotic hip fracture risk and the calcium, vitamin D, and protein strategies that support recovery, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for frac 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",661
"Knowledge Article","Knowledge / Autoimmune Disease / Gout & Crystal Arthropathies / gout-1 / gout-1","Autoimmune Disease","Gout & Crystal Arthropathies","gout-1","Gout: Hyperuricemia, Uric Acid Crystals & Flare Management","Evidence-based purine and uric acid nutrition guidance for gout and hyperuricemia, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: Evidence-based purine and uric acid nutrition guidance for gout and hyperuricemia, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources",385
"Knowledge Article","Knowledge / Autoimmune Disease / Gout & Crystal Arthropathies / gout-2 / gout-2","Autoimmune Disease","Gout & Crystal Arthropathies","gout-2","Pseudogout (CPPD) & Other Crystal Arthropathies","What pseudogout (CPPD) is, how it differs from gout, and the general anti-inflammatory nutrition approach that may help, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: What pseudogout (CPPD) is, how it differs from gout, and the general anti-inflammatory nutrition approach that may help, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for gout 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",660
"Knowledge Article","Knowledge / Autoimmune Disease / Joints & Connective Tissue / org-joint-1 / org-joint-1","Autoimmune Disease","Joints & Connective Tissue","org-joint-1","Joints: Types, Synovial Joint Anatomy, Movement & Joint Health","A brief primer on joint types and synovial joint anatomy, with the nutrition that supports joint health, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: A brief primer on joint types and synovial joint anatomy, with the nutrition that supports joint health, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Relevance | Safety Note | Sources | Clinical Perspectives & Nutritional Integration for org joint 1 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",552
"Knowledge Article","Knowledge / Autoimmune Disease / Joints & Connective Tissue / org-joint-2 / org-joint-2","Autoimmune Disease","Joints & Connective Tissue","org-joint-2","Joint Disorders: Arthritis, Gout, Bursitis, Ligament Injuries & Joint Replacement","A brief overview of common joint disorders — rheumatoid arthritis, gout, bursitis, and joint replacement — with pointers to nutrition where it genuinely helps, reviewed by Dr. Shilpa Thakur.","🌿 What This Means For You: A brief overview of common joint disorders — rheumatoid arthritis, gout, bursitis, and joint replacement — with pointers to nutrition where it genuinely helps, reviewed by Dr. Shilpa Thakur.
💡 Quick Takeaway: Supports natural metabolic clock & body wellness. Backed by evidence-graded swaps.","Overview | Nutritional Considerations | Safety & When to Seek Care | Sources | Clinical Perspectives & Nutritional Integration for org joint 2 | Metabolic Pathways and Micronutrient Synergies | Comprehensive Dietary and Lifestyle Interventions | Related Semantic Knowledge",655
